ProductID,ProductName,TotalSold,TotalRevenue
56,Gnocchi di nonna Alice,173,6574
54,Tourtière,126,938.7
33,Geitost,119,297.5
2,Chang,115,2185
59,Raclette Courdavault,115,6325
61,Sirop d'érable,106,3021.0
63,Vegie-spread,100,4390.0
38,Côte de Blaye,99,26086.5
17,Alice Mutton,97,3783
35,Steeleye Stout,95,1710
21,Sir Rodney's Scones,92,920
16,Pavlova,86,1500.7
47,Zaanse koeken,85,807.5
62,Tarte au sucre,75,3697.5
71,Fløtemysost,75,1612.5
11,Queso Cabrales,72,1512
26,Gumbär Gummibärchen,72,2248.56
48,Chocolade,70,892.5
14,Tofu,67,1557.75
68,Scottish Longbreads,66,825.0
23,Tunnbröd,60,540
49,Maxilaku,60,1200
60,Camembert Pierrot,60,2040
66,Louisiana Hot Spiced Okra,60,1020
19,Teatime Chocolate Biscuits,57,524.4
28,Rössle Sauerkraut,54,2462.4
40,Boston Crab Meat,52,956.8
76,Lakkalikööri,52,936
3,Aniseed Syrup,50,500
27,Schoggi Schokolade,50,2195.0
29,Thüringer Rostbratwurst,45,5570.55
74,Longlife Tofu,45,450
77,Original Frankfurter grüne Soße,45,585
64,Wimmers gute Semmelknödel,43,1429.75
42,Singaporean Hokkien Fried Mee,40,560
44,Gula Malacca,40,778.0
50,Valkoinen suklaa,40,650.0
53,Perth Pasties,40,1312.0
57,Ravioli Angelo,35,682.5
69,Gudbrandsdalsost,35,1260
1,Chais,34,612
46,Spegesild,27,324
41,Jack's New England Clam Chowder,25,241.25
75,Rhönbräu Klosterbier,24,186.0
9,Mishi Kobe Niku,20,1940
34,Sasquatch Ale,20,280
65,Louisiana Fiery Hot Pepper Sauce,20,421.0
73,Röd Kaviar,20,300
30,Nord-Ost Matjeshering,18,466.02
12,Queso Manchego La Pastora,15,570
31,Gorgonzola Telino,14,175.0
22,Gustaf's Knäckebröd,12,252
37,Gravad lax,10,260
55,Pâté chinois,10,240
72,Mozzarella di Giovanni,10,348.0
70,Outback Lager,8,120
36,Inlagd Sill,5,95
13,Konbu,2,12
